"material";"asgrp";"brand";"matcateg";"matdirec";"txt"
"347270";"000002261";"13633";H;"30";Бонусная программа 51_Ель искусственная декоративная,40 см,шишки, золото.
"396317";"000003526";"13848";H;"72";Чернила в потронах черные 1,2мл.,SPSQ-400/1
"611219";"000001095";"13633";H;"22";Куртка 89281-4 муж. Темп/л03-КУ син/вас (р.68-70) 182-188
"620590";"000004024";"21003";H;"35";Набор шоколадных конфет  Винни Пух 700г ТК-01
"633237";"000000160";"13910";H;"06";Уценка ProMega M205 G3220/8/2Tb/GT630-4Gb.im/si
"678275";"000002142";"12979";H;"45";Скрапбукинг Подарочная коробочка Саквояж Canary, 2 шт в уп/HY00923
"706051";"000000371";"13633";H;"08";Модуль угловой S_MV_BUSINESS 90ш к/з серый Oregon 17
"727271";"000003155";"13803";H;"72";Карандаш механический Pentel AL405-C 0,5мм синий Япония
"730883";"000000693";"13633";H;"10";Тендер Штамп на оснастке Pr20 /56244/
"740351";"000001258";"11805";H;"24";xИнд.заказ 100391-10 Визитки BC02, Отделение Осенний бульвар
"741566";"000000833";"20892";H;"14";Вода питьевая детская Сказочный Лес 5л. 2шт/уп
"746345";"000002934";"11976";H;"67";Кронштейн Arm Media LCD-T42 чер. 15-32 макс.20кг наст.поворот,наклон
"748881";"000000307";"13633";H;"08";СпецМеб 1L5_A Референт стеллаж 400x400x2200 бук-с
"753750";"000000243";"14213";H;"07";Флеш-память Silicon Power Blaze B20 16GB черная
"808228";"000004187";"13910";P;"64";Ролики для касс Promega 80мм х80м х12мм тбS
"839172";"000000693";"11805";H;"10";Тендер Печать R40 Мерседес-Бенц РУС / 21813
"848687";"000001224";"12935";П;"15";Картридж струйный HP 991X M0J90AE гол. пов.емк. для PW Pro 750/772/777
"860916";"000002238";"15088";И;"46";Головка печатающая HP 85 светло-голубая (C9423A)
"896541";"000000618";"11805";С;"08";Сервис Easy One Полка 908866 серый
"902188";"000000500";"13633";H;"09";Шило канцел.,дл.70 мм, особо прочное, блистер с подвесом, ШБ-01/118439/
"910805";"000004187";"13633";H;"64";Ролики для касс и калькуляторов 44х19метров х12мм  т/бS
"912406";"000000548";"14164";H;"09";Вентилятор Scarlett SC - SF111B10 белый /128785/
"913212";"000004195";"29471";H;"35";Игрушка интерактивная Караоке Песенки В.Шаинского Микрофон 00-00001730
"1036255";"000003796";"11805";H;"70";Гвозди барабанные 2,5/70 мм гладкие,7200шт/уп,гв2570
"1050238";"000001551";"13633";H;"35";Фигурка декоративная Клоун, L11 W10 H21,5 см 265985
"1052534";"000004604";"13959";И;"58";Трубка термоусадочная REXANT 20,0/10,0 мм, желтая (10 шт/уп по 1 м)
"1056682";"000002915";"13203";П;"66";Тумба низкая деревянная Kyocera CB-365W (870LD00124)
"1103173";"000000137";"13284";H;"06";Ноутбук Lenovo 13S (20R90075RU) i7-8565U/16Gb/512Gb/13.3/W10P
"1128088";"000000616";"13633";H;"08";Офисные перегородки S_RV_Перег.моб. глух. мягкая.ткань(0PM_158499_ЦБ-30573)
"1141331";"000002600";"13768";H;"58";Аккумулятор Panasonic Eneloop Pro AA 2500 mAh R2U (уп 4 шт) + футляр
"1154855";"000002158";"27026";L;"45";Набор для творчества из фоамирана. Праздничные украшения слоник 2-289/10
"1182002";"000004849";"12594";K;"06";ПО ESET Gateway Security для Linux / FreeBSD 68 users NOD32-LGP-NS-1-68
"1183564";"000000618";"11805";С;"08";Сервис MON_Канц Профиль стыковочный 40-944 L-1765, орех
"1214265";"000003894";"14010";П;"66";Запасная часть Термистор Ricoh Aficio 1013/1013F (AW100060)
"1215772";"000003894";"14010";И;"66";Запасная часть Прижимной вал диам. 32мм Ricoh D2894313
"1278864";"000000231";"29429";S;"07";Адаптер Satechi Type-C to Gigabit Ethernet. (ST-TCENS) серебряный
"1309577";"000004635";"11805";S;"05";xИнд.заказ 136228-1 (А) Бейдж индивидуальный
"1348409";"000000953";"11805";С;"17";Сырье д/произ-ва Флэт для коврика на стол 35x59см Sweet life персик ламинир
"1354798";"000005252";"38552";P;"70";Ключ Г-образный 6 мм WERA BlackLaser 950 BM 027209
"1366584";"000004717";"11919";K;"06";ПО Лицензия Secret Disk 5 с сетевым управлением 1Y(SD5-NET-1Y-L)
"1385973";"000002784";"11939";И;"62";Постельное белье 2сп бязь(нав.70х70 2шт),Caleidoscopio (19137)
"1399019";"000001258";"11805";S;"24";xИнд.заказ 141826-1 (П) Визитки 14
"1425166";"000003684";"40730";И;"62";Халат муж. трига шалька AMBIELLA  A-1160, бежевый, 3XL
"1428824";"000000587";"13633";S;"08";Жалюзи вертикальные Сидев/о 1.80x2.20
"221733";"000002261";"11805";H;"30";Тендер Плёнка для лам GMP глянц. 75 мкм, 635 мм, 75 м/рул
"236556";"000001091";"13633";H;"22";Спец.гол.убор Кепи утепленная, цв.т-синий
"258403";"000002338";"13633";H;"35";Литература Арифметика продаж
"267118";"000001804";"15194";H;"42";Дезсредство Кутасепт Г окрашенный, флакон 1000 мл
"378481";"000002261";"11805";H;"30";Доп.заказ Лопата штыковая.
"428381";"000002412";"13809";H;"48";Кальвадос Кальвадос дю пэр Лэз VSOP 0.7 4 года 40%
"487320";"000004703";"14425";М;"16";Дисп. политика Диспенсер д/покрыт. на унитаз Tork Elevation V1 бел,344080
"496113";"000002261";"13633";H;"30";Шампунь 10 мл в саше Travel 1902 /87851/
"528240";"000002444";"11805";U;"50";Термоформ. пр-во Коррекс КС-8 (0G1)
"545404";"000001085";"13633";H;"22";Костюм 85657-7 ут ?Азимут?, т-син./чер. (р 52-54,170-176)
"560917";"000002261";"14442";H;"30";Тендер Краска штемпельная Trodat синяя, 28 мл
"618625";"000000690";"14442";H;"10";Доп.заказ Оснастка металлическая для штампа 3900 / 106x55 мм
"625283";"000002261";"11805";H;"30";Тендер Штифты аллюминиевые 126 мм, 100 шт/уп.
"652321";"000004103";"15152";У;"34";Заправка картриджа HP 85A CE285A (Смоленск)
"699371";"000000999";"12811";H;"18";Рюкзак GRIZZLY RU-713-2/1 черный - красный
"726133";"000002373";"11805";H;"42";Тендер Шпатель №3
"747506";"000002781";"13633";H;"62";Наматрасник 145х205х20 на резинке, тик матрасный /59965/
"788339";"000001788";"11805";H;"41";Тендер Бумага самоклеящаяся А4 50л. 14 фр. (105x42,3)
"803435";"000000689";"11805";H;"10";Тендер Печать R40 ВТБ МС Для полисов / 21245
"814572";"000000929";"13633";H;"15";Картридж лазерный  MLT-D203U чер. для Samsung M3320/3820/4020
"887667";"000002983";"13633";H;"69";Ящик складной перфорированный с текстурой под дерево 600x400x230 (WL6423)
"894390";"000001258";"11805";H;"24";xИнд.заказ 111510-72 BC03, Рочев Кирилл Евгеньевич
"980983";"000001258";"11805";H;"24";xИнд.заказ 117623-11 Внешний аккумулятор Gladies с зеркалом, 3000 мАч черны
"1080513";"000003543";"30603";H;"76";Стакан ПП К-95 250мл прозрачный
"1116325";"000004590";"13633";H;"22";Спец.одежда летняя с лог Костюм л05-КБР 60-62 170-176 125183-12
"1128608";"000000394";"13633";H;"08";Сервис Опора колесная D=40мм на штыре М8, черная
"1165373";"000001259";"13633";С;"27";ЗЧ д/обор-я ДКУ Эк Пускатель КМИ-34062
"1188174";"000001031";"13633";И;"22";Сапоги Standart утепленные р.43 (ВС4075у)
"1216660";"000004380";"13633";В;"65";Крышка пластиковая PET d=143мм д/контейнера бум. 550 мл, 50 шт/уп 43320.01
"1231674";"000005212";"15076";П;"70";Лист шлифовальный для ПШМ Р180 93х230мм 5шт/уп Зубр 35590-180
"1300360";"000002816";"14164";П;"63";Фен SCARLETT SC-HD70IT02, 1300Вт, складная ручка, ионизация, черный
"1338539";"000003493";"32434";И;"70";Пассатижи комбинированные 200 мм Дело Техники 411201
"1343302";"000004187";"13633";P;"64";Ролики Бумага телетайп, (Рулон для принтера и телетайпа, 210х100(92)(СТРЛ))
"1351967";"000002631";"13633";S;"58";Выключатель HoosenseH2-B210M 2кл.о/пIP54 сер.клав.черн.(Электромонтаж)Ю2328
"1363305";"000004590";"13633";S;"22";Халат медицинский с лог муж м10-ХЛ 52-54 182-188 139330-5
"1422387";"000000587";"13633";S;"08";Жалюзи горизонтальны 02250.51x1.53
"1424394";"000004590";"13633";S;"22";Костюм с лог муж Универсал-КПК сер/бордовый 52-54/194-200 143330-5
"177245";"000001107";"13633";H;"22";Костюм Пекаря универсальный длин.рукав(р.48-50) р.182-188
"247862";"000002261";"11805";H;"30";Доп.заказ Костюм легкий защитный Л-1 (р. 2)
"282676";"000001240";"21128";H;"18";Фломастер №1School,Tony&Bony,12цв
"362095";"000002928";"12272";H;"66";Плоттер Canon imagePROGRAF iPF825 (4837B003) А0, 5 цветов
"369458";"000002261";"13633";H;"30";Пазл /54446/ Магнит.пазл. 46,394,00 малый (Кот)
"424201";"000002232";"20920";H;"46";Плата форматирования для HP LJ Pro M1536 (CE544-60001)
"433278";"000002238";"20920";H;"46";Картридж струйный Cactus CS-CLI526BK для CANON PIXMA iP4850/MG5250 8.4 мл
"441702";"000002504";"13633";H;"52";Обложка для паспорта Каштаны арт.35683 (13,3x19,1 из ПВХ)
"533079";"000002431";"11805";U;"50";Термоформ. пр-во Емкость СК-180 СТАНДАРТ (0RM) (1100шт./уп)
"546070";"000001738";"12572";И;"35";Карта подарочная Дефиле 1000р
"601059";"000001094";"13633";H;"22";Спец.одежда летняя Костюм Лига-СМ/л04-КПК син.(р.64-66) 182-188
"644537";"000002509";"13633";О;"52";Чехол для одежды из спанбонда с окошком синий, кант серый, BL 100-60
"669715";"000000307";"13633";H;"08";Мебель 1L5_А Универсал У.П-1 Шкаф для документов узкий 350х350х1788,венге
"713928";"000000658";"13633";H;"10";Клей для плитки Ceresit СМ11, 5кг/46722/
"716515";"000000705";"12183";H;"10";Тендер Закладки 45х12мм 3цв., 45х25мм 1цв. пласт/п-проз 4цв по 25л.Brauberg
"718006";"000004200";"15154";H;"42";Мед.смотров. перчатки нитрил., нест., н/о, текст., (S)100пар/уп.голубой
"727126";"000000690";"12373";H;"10";Доп.заказ Оснастка д/штампа АО Мерседес-Бенц Мануфэкчуринг Рус, мак.20164
"823731";"000003134";"11805";H;"71";Тендер Шланг PALISAD 67477 поливочный пвх 3/4 25м армированный
"826857";"000001258";"11805";H;"24";xИнд.заказ 107289-1 Визитки, цифровая печать 4+4, комплект по 100 шт.
"850022";"000001258";"11805";H;"24";xИнд.заказ 108846-22 BC01, Эгамбердиева Нилуфар Уктамовна
"856830";"000001093";"13633";H;"22";Спец.одежда летняя с лог Костюм м л20-КБР син/кр 56-58 182-188 109131-4
"916325";"000003118";"27983";H;"71";Щетка метла плосткая щетина мягкая витая 300х75мм В849 G зеленая
"916512";"000002443";"11805";U;"50";Термоформ. пр-во Коррекс КР-1907/1 (Я) (0RM)
"922197";"000000392";"11805";С;"08";Сервис 1L5_0B3 MT_CP-5 PL Крестовина, пластик
"923275";"000000747";"21018";H;"11";Папка-конверт на кнопке ФЛАМИНГО А5, 24x17/46748
"924961";"000001093";"13633";H;"22";Спец.одежда летняя с лог Костюм м л16-КБР син/вас 52-54 158-164 113590-5
"937908";"000001577";"26861";H;"35";Подставка под горячее Свинка с ландышами со шнурком 220159
"941338";"000001258";"11805";H;"24";xИнд.заказ 115034-5 Часы настенные, пластик, черный, ГРАЦИО
"999504";"000002745";"13086";H;"60";Гарнитура Jabra BIZ 2400 II Duo (2409-820-204)
"1018176";"000001788";"13633";H;"41";Этикетки самоклеящиеся 26x41мм (49 шт. на листе А4, 500 листов в упаковке)
"1025928";"000001258";"11805";H;"24";xИнд.заказ 120294-1 Оснастка для печати с крышкой d40мм, Pr. R40, черная, C
"1036610";"000000618";"11805";С;"08";Сервис SP Бюджет Боковина левая 2558 (402658) груша(956186)
"1051085";"000002232";"15088";И;"46";Модуль (45N1144)
"1071317";"000001258";"11805";H;"24";xИнд.заказ 122710-15 Визитки 35
"1076070";"000003011";"13633";D;"70";Скальпель средний СК-03 150 мм (12-4308-8)
"1093254";"000002740";"12845";H;"60";Телефон ip Gigaset S650H PRO
"1100521";"000002891";"12223";H;"64";Уценка Весы торговые SWN-06 c доп.дисплеем для покупателя (до 6кг)
"1160354";"000001756";"12085";E;"41";Еженедельник недатированный BeSmart 80л, склейка, Bunny чайки N2034
"1163077";"000003900";"11996";П;"06";Видеокарта Asus GTX 1660SUPER 6Gb PH-GTX1660S-O6G 1530/14002 Ret
"1163102";"000004967";"13633";И;"22";Брюки (джинсы) женские цв. графит р.48/158-164
"1211957";"000000137";"13284";H;"06";Ноутбук Lenovo IdeaPad L3-15 15IML05(81Y300EYRK)Cel 5205U/8G/256G/15.6/noOS
"1221773";"000004586";"11805";S;"10";xИнд.заказ 130958-2 (П) Оснастка для печати с крышкой d40мм, Pr. R40, черна
"1243875";"000005000";"13595";K;"06";ПО игра ПК Namco Bandai Tales of Vesperia:Definitive NAM_5146
"1263064";"000003866";"37227";И;"61";Светильник Yeelight Serene Eye-Friendly Desk Lamp Pro (YLTD04YL)
"1270652";"000001086";"13633";S;"22";Костюм рабочий зимний з03-КПК ЧЛБ вслк. с синим (р.48-50) 182-188 с  ЛОГО
"1272309";"000001258";"11805";И;"24";xИнд.заказ 133538 Набор Follower, синий
"1286833";"000004972";"13830";П;"22";Колготки женские Cr Rouen 80den nero 28032621982993
"1304728";"000001258";"11805";И;"24";xИнд.заказ 133329 Ежедневник 2
"1326245";"000002506";"13998";K;"52";Кошелек Florina Blue арт.PM22
"1327087";"000000952";"11805";С;"17";Сырье д/произ-ва п/ф Термотран этик Полугл лг/кл D=98,500шт/рул,вт40,1цвет
"1373481";"000003035";"13633";S;"70";Клей для Клеевой пистолет СОЮЗ КПС-24600
"93201";"000001088";"13633";H;"22";Спец.одежда зимняя Брюки универсальные/з16-БР (р.52-54)р.182-188
"196411";"000002261";"11805";H;"30";Тендер Ролик Lomond мат. 105 г/м2, 1067х45х50, (1202053)
"204107";"000003553";"11805";H;"16";Подарки Подарочная карта  Детский Мир  1000 ОСР
"221978";"000003177";"13697";H;"72";Ручка шариковая ONLINE Vision Style 36644 синий авт. под.уп-ка, Германия
"348084";"000002261";"11805";H;"30";Доп.заказ Калька Xerox А0+ в рулоне 914мм х 170м  90 г/кв.м  003R96053
"366962";"000001259";"11805";H;"27";ЗЧ д/скл тех и СЭ ТС Фильтр-сетка поддона У35.615-01.160
"372295";"000001166";"13633";H;"10";Набор настольный деревянный 9 предм. M9D-1 КРАСНОЕ ДЕРЕВО темн. Тайвань roz
"374998";"000000218";"13492";H;"07";Мышь компьютерная Microsoft Comfort Mouse 4500 (4FD-00024)si
"382371";"000000975";"11999";О;"18";Циркуль Attache 115 мм  с запасным грифелем в ПВХ чехле S01002P
"390122";"000001259";"11805";H;"27";ЗЧ д/скл тех и СЭ ДСК Фара 1557780
"437351";"000001629";"14581";H;"35";Игрушка Магнитный театр  Теремок  VT3206-08
"476572";"000003899";"11996";H;"06";Материнская плата Asus (B85M-K)/1150/ B85/2xDDR3/mATX/VGA/DVI_K
"506730";"000000764";"21009";H;"13";Новогоднее украшение елочное подвесное  Птица  26026
"520356";"000003376";"15073";D;"54";Полироль для мебели ЗОЛУШКА Лимонная Свежесть 250мл
"529365";"000000626";"13633";H;"08";Кухня G_РИО-1 Столешница алюминивая рябь L=500
"531001";"000002095";"11805";U;"43";Экструз пр-во PS Пленка PS (606х450) белая 4502078 (2RM)
"534463";"000000287";"13633";H;"08";Мебель для гостиниц ET_Комплект Winx 2 Азбука (стол+стул) В2А
"616525";"000000618";"11805";С;"08";Сервис ED_Милан Боковая стенка МЛ-1.4/1.5 орех табак
"617303";"000000617";"11805";С;"08";Сервис ED Форум/Статус фурнитура ящ. Фр-3.1 дуб мол.
"633668";"000001258";"11805";H;"24";xИнд.заказ 91336-17 Кружка (керамика 300мл) Кружка (керамика 300мл), Без ра
"648842";"000004037";"11809";H;"35";Ледянка 1toy Monster High 60см Т56338
"698043";"000004205";"15363";H;"76";Средство для мытья поверхностей Ника-Универсал, кан. 5,0 кг, 4 шт/уп
"715451";"000000617";"11805";С;"08";Сервис И_Вита Фурнитура к шкафу 2384, орех
"725846";"000003134";"11805";H;"71";Тендер Шланг PrimoFlex 1/2- 20m 2.645-138.0
"744701";"000000306";"13633";U;"08";Мебель 1L5_SL Imago Гардероб ГБ-1 венге магия (ГБ-К1,ДГ1)
"812976";"000001258";"11805";H;"24";xИнд.заказ 106431-1 Скотч, 50мкм, 50ммх66м-1
"813266";"000001258";"11805";H;"24";xИнд.заказ 106480-1 Универ. зарядное устройство, мет., синий., 4400mah, СИС
"849945";"000002921";"13203";H;"66";МФУ Kyocera FS-C8525MFP А3, 25/13 ppm A4/A3, 600 dpi
"887946";"000004140";"13633";H;"35";Копилка в комплекте с наклейками из ПВХ с клеевым основанием 11х9см, 77763
"898325";"000000843";"14528";D;"14";Сыр плавленый Виола Valio с ветчиной в ломтиках 140г
"919777";"000000862";"13633";H;"14";Сироп ACCENTO 1л фундук/133302/
"942101";"000003083";"13633";Л;"71";Бак для отходов 80л, пластик пищевой, серый с зеленой крышкой _У
"957512";"000001258";"11805";H;"24";xИнд.заказ 116496-1 Зонт-трость Unit Promo, зеленый
"968289";"000001222";"13203";И;"15";Сервисный комплект Kyocera MK-170 (1702LZ8NL0) для P2135d/FS-1370DN
"979317";"000000158";"13633";H;"06";Монитор HP 27 HP Pavilion 27 FHD 3TN79AA#ABB/157277/
"985769";"000000266";"12935";S;"08";Крепеж HP (JW047A) AP-220-MNT-W1W Flat Surface Wall/Ceiling White AP
"996253";"000000830";"11805";H;"14";Чайный напиток Женьшеневое Равновесие, пакетир 20х1,75 (ЧА013)
